Dataset,Model,BatchSize,StartingLr,N_days,HiddenSize,Seed,BestEpoch,TestAcc,TestLoss,ValAcc,ValLoss,TestF1,ValF1,TrainLoss,,,
ECO,LSTM,512,0.05,10,32,1111,4,0.858576,0.3306,0.907826,0.2381,0.692527869,0.81176568,0.441874203,None,2,
ECO,LSTM,512,0.05,10,32,22,6,0.890783,0.2527,0.911081,0.2202,0.771063123,0.816964199,0.377835526,None,2,
ECO,LSTM,512,0.05,10,32,333,5,0.906936,0.2402,0.910842,0.2152,0.782452628,0.813230187,0.394654974,None,2,
ECO,LSTM,512,0.05,10,32,4444,4,0.877745,0.2626,0.902652,0.2291,0.786280385,0.826969338,0.440054632,None,2,
ECO,LSTM,512,0.05,10,32,5555,5,0.899177,0.2334,0.931915,0.1801,0.783736772,0.831228823,0.389420782,None,2,
ECO,LSTM,512,0.05,10,32,66666,9,0.885557,0.2612,0.897467,0.233,0.755100904,0.799996852,0.320890002,None,2,
ECO,LSTM,512,0.05,10,32,888888,5,0.899414,0.2521,0.911253,0.2245,0.767457678,0.809657944,0.394515268,None,2,
ECO,LSTM,512,0.05,10,32,4444,6,0.841873,0.3752,0.879782,0.277,0.723749051,0.738768273,0.18709977,3,0,TRUE
ECO,LSTM,512,0.05,10,32,4444,10,0.797175,0.4697,0.871433,0.3065,0.674337395,0.67022945,0.234845411,9,0,TRUE
ECO,LSTM,512,0.05,10,32,4444,9,0.831959,0.4116,0.902276,0.2087,0.719506387,0.871736285,0.279790798,6,0,TRUE
ECO,LSTM,512,0.05,10,32,5555,9,0.830938,0.4133,0.872452,0.3191,0.706958437,0.647924657,0.226233654,9,0,TRUE
ECO,LSTM,512,0.05,10,32,5555,2,0.807783,0.4211,0.847858,0.3053,0.734862821,0.776385032,0.417852236,3,0,TRUE
ECO,LSTM,512,0.05,10,32,5555,9,0.824411,0.4116,0.908809,0.2038,0.710779798,0.881802217,0.201467058,6,0,TRUE
ECO,LSTM,512,0.05,10,32,66666,7,0.799778,0.4712,0.862262,0.3156,0.674200983,0.658283144,0.249236551,9,0,TRUE
ECO,LSTM,512,0.05,10,32,66666,9,0.818678,0.4166,0.892039,0.2305,0.7012312,0.868329166,0.273753176,6,0,TRUE
ECO,LSTM,512,0.05,10,32,66666,4,0.815235,0.3777,0.835938,0.2931,0.725943904,0.775650672,0.357359113,3,0,TRUE
ECO,LSTM,512,0.05,10,32,1111,7,0.822847,0.4176,0.869226,0.3267,0.674824049,0.660279619,0.191304158,9,0,TRUE
ECO,LSTM,512,0.05,10,32,1111,6,0.812136,0.4135,0.913524,0.2016,0.717267602,0.889267141,0.228187913,6,0,TRUE
ECO,LSTM,512,0.05,10,32,1111,8,0.836737,0.3836,0.85951,0.3017,0.709273119,0.7528352,0.393850892,3,0,TRUE
ECO,LSTM,512,0.05,10,32,22,10,0.840474,0.3762,0.879416,0.3255,0.706630161,0.664908342,0.180589935,9,0,TRUE
ECO,LSTM,512,0.05,10,32,22,4,0.835524,0.3695,0.907799,0.2169,0.715278177,0.885356478,0.357271682,6,0,TRUE
ECO,LSTM,512,0.05,10,32,22,8,0.821361,0.3804,0.857085,0.2718,0.724820198,0.767892373,0.228151076,3,0,TRUE
ECO,LSTM,512,0.05,10,32,333,9,0.817758,0.4055,0.822351,0.3196,0.712225394,0.685198544,0.357759485,9,0,TRUE
ECO,LSTM,512,0.05,10,32,333,3,0.820442,0.3862,0.913658,0.2182,0.718853427,0.89211435,0.370653775,6,0,TRUE
ECO,LSTM,512,0.05,10,32,333,6,0.82481,0.391,0.877492,0.2733,0.705336019,0.771619219,0.326204258,3,0,TRUE
ECO,LSTM,512,0.05,10,32,1111,20,0.76418,0.5432,0.794814,0.4338,0.703203961,0.638403698,0.430919713,9,2,FALSE
ECO,LSTM,512,0.05,10,32,1111,24,0.78065,0.5514,0.819302,0.3378,0.731621306,0.703915054,0.408034296,12,2,FALSE
ECO,LSTM,512,0.05,10,32,1111,21,0.811806,0.5931,0.925951,0.2084,0.724236112,0.870929925,0.337802655,15,2,FALSE
ECO,LSTM,512,0.05,10,32,22,23,0.786565,0.5772,0.802762,0.3686,0.739342699,0.695894226,0.396905469,9,2,FALSE
ECO,LSTM,512,0.05,10,32,22,21,0.750588,0.5252,0.772697,0.4525,0.697590756,0.618202677,0.468084433,12,2,FALSE
ECO,LSTM,512,0.05,10,32,22,25,0.808283,0.5657,0.903023,0.2271,0.725468354,0.855879493,0.289094152,15,2,FALSE
ECO,LSTM,512,0.05,10,32,333,21,0.792642,0.5213,0.827785,0.3765,0.72522723,0.6703022,0.390966068,9,2,FALSE
ECO,LSTM,512,0.05,10,32,333,25,0.772573,0.5387,0.810963,0.4015,0.710439802,0.643107669,0.464411904,12,2,FALSE
ECO,LSTM,512,0.05,10,32,333,24,0.801743,0.5618,0.885954,0.2664,0.704385945,0.832801594,0.340175148,15,2,FALSE
ECO,LSTM,512,0.05,10,32,4444,23,0.774932,0.5348,0.82288,0.4043,0.694568005,0.612648449,0.367093258,9,2,FALSE
ECO,LSTM,512,0.05,10,32,4444,25,0.781928,0.5507,0.842146,0.3649,0.710854445,0.663327672,0.378426449,12,2,FALSE
ECO,LSTM,512,0.05,10,32,4444,20,0.790888,0.5657,0.92731,0.1732,0.727120332,0.897772902,0.338822721,15,2,FALSE
ECO,LSTM,512,0.05,10,32,5555,23,0.7774,0.5737,0.836117,0.37,0.701358674,0.655244191,0.402406317,9,2,FALSE
ECO,LSTM,512,0.05,10,32,5555,25,0.783506,0.5397,0.810614,0.3621,0.743313999,0.702660061,0.394960861,12,2,FALSE
ECO,LSTM,512,0.05,10,32,5555,23,0.788841,0.6025,0.886889,0.2708,0.699833787,0.838991577,0.410150823,15,2,FALSE
ECO,LSTM,512,0.05,10,32,66666,22,0.765521,0.5526,0.821841,0.3894,0.714440454,0.689521088,0.420399455,9,2,FALSE
ECO,LSTM,512,0.05,10,32,66666,24,0.757406,0.5471,0.811863,0.4098,0.688729912,0.627311466,0.414639748,12,2,FALSE
ECO,LSTM,512,0.05,10,32,66666,25,0.779196,0.5213,0.894956,0.223,0.701926923,0.86210211,0.330243536,15,2,FALSE
ECO,LSTM,512,0.05,10,32,77777,22,0.764085,0.5142,0.779891,0.4094,0.725698581,0.699142361,0.437553485,9,2,FALSE
ECO,LSTM,512,0.05,10,32,77777,24,0.768322,0.5205,0.824029,0.4056,0.697121115,0.647460084,0.456857758,12,2,FALSE
ECO,LSTM,512,0.05,10,32,77777,25,0.805501,0.6037,0.913638,0.1938,0.7240904,0.867621293,0.291617017,15,2,FALSE
ECO,LSTM,512,0.05,10,32,888888,24,0.789402,0.5239,0.831648,0.3845,0.712731896,0.666784548,0.362652272,9,2,FALSE
ECO,LSTM,512,0.05,10,32,888888,24,0.780436,0.5428,0.850687,0.3536,0.713377388,0.679820294,0.435009935,12,2,FALSE
ECO,LSTM,512,0.05,10,32,9999999,25,0.760232,0.5229,0.805999,0.412,0.690919647,0.618659939,0.337709329,9,2,FALSE
ECO,LSTM,512,0.05,10,32,888888,21,0.798242,0.5843,0.912024,0.1765,0.734874035,0.886559928,0.34336287,15,2,FALSE
ECO,LSTM,512,0.05,10,32,9999999,23,0.780045,0.5751,0.854697,0.3708,0.71398535,0.668207259,0.458283865,12,2,FALSE
ECO,LSTM,512,0.05,10,32,9999999,25,0.805407,0.5867,0.924338,0.171,0.731698333,0.884996098,0.301085829,15,2,FALSE
ECO,LSTM,512,0.05,10,32,1111,25,0.855436,0.3382,0.938376,0.1743,0.695024336,0.706997609,0.224825645,12,2,TRUE
ECO,LSTM,512,0.05,10,32,1111,24,0.769393,0.5084,0.852989,0.3638,0.722463256,0.859752846,0.460900617,6,2,FALSE
ECO,LSTM,512,0.05,10,32,1111,1,0.859331,0.3252,0.930622,0.1655,0.70239875,0.880205598,0.263625312,15,2,TRUE
ECO,LSTM,512,0.05,10,32,22,24,0.73948,0.5155,0.787716,0.3826,0.668862273,0.786045326,0.414901784,6,2,FALSE
ECO,LSTM,512,0.05,10,32,22,25,0.855497,0.3379,0.938376,0.1747,0.695096154,0.706997609,0.226253884,12,2,TRUE
ECO,LSTM,512,0.05,10,32,333,22,0.759786,0.5016,0.847013,0.3592,0.694060605,0.840521642,0.443114345,6,2,FALSE
ECO,LSTM,512,0.05,10,32,333,25,0.855409,0.338,0.938308,0.175,0.694974827,0.706955845,0.227335115,12,2,TRUE
ECO,LSTM,512,0.05,10,32,22,1,0.859443,0.3249,0.930707,0.1651,0.702679514,0.880257688,0.265339049,15,2,TRUE
ECO,LSTM,512,0.05,10,32,4444,21,0.780528,0.4889,0.900862,0.2925,0.734442324,0.890318939,0.44153607,6,2,FALSE
ECO,LSTM,512,0.05,10,32,4444,25,0.855413,0.3382,0.938376,0.1746,0.694979557,0.706997609,0.226115404,12,2,TRUE
ECO,LSTM,512,0.05,10,32,333,1,0.859419,0.325,0.930622,0.1653,0.702623121,0.880205598,0.266845093,15,2,TRUE
ECO,LSTM,512,0.05,10,32,5555,19,0.738985,0.5229,0.709119,0.498,0.658716602,0.719969809,0.52286789,6,2,FALSE
ECO,LSTM,512,0.05,10,32,5555,25,0.854915,0.3407,0.93851,0.1734,0.694068005,0.70682658,0.216776936,12,2,TRUE
ECO,LSTM,512,0.05,10,32,4444,1,0.859346,0.3252,0.930622,0.1655,0.702422475,0.880205598,0.262435788,15,2,TRUE
ECO,LSTM,512,0.05,10,32,66666,25,0.767678,0.5107,0.799434,0.4018,0.710222749,0.81040633,0.507382478,6,2,FALSE
ECO,LSTM,512,0.05,10,32,66666,25,0.855287,0.3387,0.938376,0.1746,0.694739088,0.706955845,0.224586924,12,2,TRUE
ECO,LSTM,512,0.05,10,32,5555,1,0.859397,0.3251,0.930622,0.1653,0.702553098,0.880205598,0.265146999,15,2,TRUE
ECO,LSTM,512,0.05,10,32,77777,22,0.778325,0.4919,0.823747,0.3963,0.694610463,0.815191431,0.442683919,6,2,FALSE
ECO,LSTM,512,0.05,10,32,77777,25,0.855065,0.3396,0.938645,0.1747,0.694299116,0.70691725,0.222224332,12,2,TRUE
ECO,LSTM,512,0.05,10,32,66666,1,0.859468,0.3249,0.930707,0.165,0.702737218,0.880257688,0.268845032,15,2,TRUE
ECO,LSTM,512,0.05,10,32,888888,24,0.741441,0.5836,0.724977,0.5509,0.675122199,0.758171333,0.581510534,6,2,FALSE
ECO,LSTM,512,0.05,10,32,888888,25,0.855367,0.3386,0.938376,0.1741,0.694889972,0.706997609,0.223993251,12,2,TRUE
ECO,LSTM,512,0.05,10,32,77777,1,0.859461,0.3249,0.930707,0.1649,0.702715818,0.880257688,0.26621733,15,2,TRUE
ECO,LSTM,512,0.05,10,32,9999999,1,0.642525,0.6908,0.7533,0.6895,0.654490063,0.807536283,0.694141322,6,2,FALSE
ECO,LSTM,512,0.05,10,32,9999999,25,0.854901,0.3408,0.93851,0.1733,0.694027264,0.70682658,0.215698742,12,2,TRUE
ECO,LSTM,512,0.05,10,32,888888,1,0.859266,0.3254,0.930452,0.1659,0.702273617,0.880105733,0.265189216,15,2,TRUE
ECO,LSTM,512,0.05,10,32,9999999,1,0.859456,0.3249,0.930707,0.165,0.7027096,0.880257688,0.267065644,15,2,TRUE
ECO,Naive,512,0.025,15,32,1111,1,0.316381,10.9885,0,16.1181,0.277362572,0,11.09826101,3,2,FALSE
ECO,Naive,512,0.025,15,32,1111,1,0.317109,10.9768,0,16.1181,0.278617739,0,11.09657343,6,2,FALSE
ECO,Naive,512,0.025,15,32,1111,1,0.317119,10.9766,0,16.1181,0.280179118,0,11.09946178,9,2,FALSE
ECO,Naive,512,0.025,15,32,1111,1,0.316353,10.9887,0,16.1181,0.277311703,0,11.08613999,12,2,FALSE
ECO,Naive,512,0.025,15,32,1111,1,0.317454,10.9713,0,16.1181,0.280074354,0,11.09720223,15,2,FALSE
ECO,LSTM,512,0.05,15,32,5555,3,0.869378,0.3006,0.956861,0.1234,0.6977326153687221,0.8949217925596203,0.3492714193020947,15,0,True
ECO,LSTM,512,0.05,15,32,1111,1,0.858922,0.3074,0.961447,0.1029,0.7247372186973094,0.908993154849893,0.37870495100693613,15,0,True
ECO,LSTM,512,0.05,15,32,1111,10,0.876667,0.2861,0.960062,0.1262,0.6970882524062453,0.707477042744565,0.3217101343856077,12,0,True
ECO,LSTM,512,0.05,15,32,5555,8,0.869622,0.3076,0.962958,0.1257,0.6914646375872525,0.709428958256768,0.3009818713939602,12,0,True
ECO,LSTM,512,0.05,15,32,66666,4,0.876415,0.2902,0.966287,0.1118,0.7115115471167597,0.9020018372983588,0.3473074580040732,15,0,True
ECO,LSTM,512,0.05,15,32,22,8,0.872556,0.2968,0.931301,0.1498,0.6923592027291021,0.8725128053443335,0.3025161432385929,15,0,True
ECO,LSTM,512,0.05,15,32,22,7,0.867508,0.3078,0.951239,0.1398,0.6885709105629491,0.706009481536166,0.33569518340440757,12,0,True
ECO,LSTM,512,0.05,15,32,66666,10,0.872977,0.3023,0.959254,0.1330,0.6902026934535129,0.7062944321234044,0.2972503635778325,12,0,True
ECO,LSTM,512,0.05,15,32,77777,10,0.877827,0.2905,0.950153,0.1298,0.6953082318298699,0.8867530763165543,0.28963492995587853,15,0,True
ECO,LSTM,512,0.05,15,32,333,1,0.866691,0.2985,0.947181,0.1347,0.7071020675273221,0.8891645289145211,0.37092805548082286,15,0,True
ECO,LSTM,512,0.05,15,32,77777,10,0.874063,0.2978,0.959119,0.1319,0.693366350606967,0.7055535955191915,0.29446007545556985,12,0,True
ECO,LSTM,512,0.05,15,32,333,10,0.874629,0.2903,0.957974,0.1332,0.6946864202335753,0.7050659340868237,0.31839085332371697,12,0,True
ECO,LSTM,512,0.05,15,32,1111,6,0.871559,0.2983,1.000000,0.0213,0.7124466658643581,1.0,0.3748477061128332,3,2,False
ECO,LSTM,512,0.05,15,32,77777,6,0.854092,0.3201,1.000000,0.0225,0.7343166403679909,1.0,0.3822325611120387,3,2,False
ECO,LSTM,512,0.05,15,32,4444,17,0.881778,0.2768,1.000000,0.0144,0.7030330721155652,1.0,0.30337159084783416,3,2,False
ECO,LSTM,512,0.05,15,32,22,4,0.846002,0.3341,1.000000,0.0134,0.7323755203240249,1.0,0.43408856133839746,3,2,False
ECO,LSTM,512,0.05,15,32,888888,16,0.861974,0.3217,1.000000,0.0149,0.6810346192313094,1.0,0.2987026597583953,3,2,False
ECO,LSTM,512,0.05,15,32,5555,15,0.873726,0.2985,1.000000,0.0147,0.6934095845663604,1.0,0.3036848914441737,3,2,False
