Dataset,Model,BatchSize,StartingLr,N_days,HiddenSize,Seed,BestEpoch,TestAcc,TestLoss,ValAcc,ValLoss,TestF1,ValF1,TrainLoss,Train_days,Num_frozen_layers,Type
HPDMobile,LSTM,512,0.025,15,32,1111,13,0.85948,0.3823,0.962891,0.1287,0.530533566,0.522247527,0.22069322,2,2,No Transfer
HPDMobile,LSTM,512,0.025,15,32,1111,15,0.852005,0.4796,0.978264,0.1029,0.518841429,0.536182201,0.186424502,4,2,No Transfer
HPDMobile,LSTM,512,0.025,15,32,1111,5,0.851572,0.3836,0.891003,0.2661,0.51506754,0.467127662,0.188766118,6,2,No Transfer
HPDMobile,LSTM,512,0.025,15,32,22,11,0.859343,0.4147,0.962324,0.1273,0.530352078,0.521899248,0.2312708,2,2,No Transfer
HPDMobile,LSTM,512,0.025,15,32,22,10,0.851788,0.4173,0.977949,0.1053,0.518776297,0.536005043,0.212865959,4,2,No Transfer
HPDMobile,LSTM,512,0.025,15,32,333,15,0.859835,0.385,0.962765,0.1297,0.530776644,0.522166678,0.244024399,2,2,No Transfer
HPDMobile,LSTM,512,0.025,15,32,22,12,0.844604,0.3903,0.886782,0.2574,0.50945172,0.463590487,0.169466167,6,2,No Transfer
HPDMobile,LSTM,512,0.025,15,32,333,12,0.851328,0.4597,0.977634,0.1044,0.518021963,0.53581512,0.190034038,4,2,No Transfer
HPDMobile,LSTM,512,0.025,15,32,4444,14,0.85977,0.3883,0.962702,0.1299,0.530704052,0.522129,0.227968635,2,2,No Transfer
HPDMobile,LSTM,512,0.025,15,32,333,3,0.85375,0.3683,0.891885,0.2629,0.516834769,0.467896174,0.197946436,6,2,No Transfer
HPDMobile,LSTM,512,0.025,15,32,5555,5,0.859496,0.3896,0.962891,0.1296,0.530640501,0.522271305,0.2502461,2,2,No Transfer
HPDMobile,LSTM,512,0.025,15,32,4444,8,0.85217,0.4671,0.979146,0.1032,0.519017827,0.536677126,0.221584754,4,2,No Transfer
HPDMobile,LSTM,512,0.025,15,32,1111,13,0.858802,0.3719,0.961946,0.1377,0.530065329,0.521769208,0.222707318,2,2,No Transfer
HPDMobile,LSTM,512,0.025,15,32,1111,15,0.851649,0.4231,0.978075,0.1023,0.518564925,0.536050137,0.19154608,4,2,No Transfer
HPDMobile,LSTM,512,0.025,15,32,1111,6,0.853572,0.3949,0.8922,0.2708,0.516506399,0.467927907,0.176858555,6,2,No Transfer
HPDMobile,LSTM,512,0.025,15,32,22,11,0.859569,0.4438,0.96245,0.1236,0.530607496,0.52200512,0.211804901,2,2,No Transfer
HPDMobile,LSTM,512,0.025,15,32,22,10,0.852031,0.4534,0.978579,0.0971,0.518889584,0.536354279,0.203920597,4,2,No Transfer
HPDMobile,LSTM,512,0.025,15,32,333,15,0.859286,0.4318,0.961001,0.1245,0.530324046,0.521203941,0.208638072,2,2,No Transfer
HPDMobile,LSTM,512,0.025,15,32,22,5,0.853797,0.3839,0.892326,0.2574,0.516827974,0.468146492,0.184873224,6,2,No Transfer
HPDMobile,LSTM,512,0.025,15,32,333,15,0.851693,0.4333,0.977193,0.1005,0.518645239,0.53562922,0.192619059,4,2,No Transfer
HPDMobile,LSTM,512,0.025,15,32,4444,14,0.860013,0.435,0.963206,0.122,0.530893231,0.522405315,0.221454882,2,2,No Transfer
HPDMobile,LSTM,512,0.025,15,32,333,3,0.854107,0.3627,0.892452,0.2611,0.517077958,0.468237448,0.19943262,6,2,No Transfer
HPDMobile,LSTM,512,0.025,15,32,5555,8,0.859787,0.3874,0.962513,0.1321,0.530747746,0.522079958,0.237555546,2,2,No Transfer
HPDMobile,LSTM,512,0.025,15,32,4444,11,0.852031,0.4456,0.976689,0.1028,0.518605956,0.535187543,0.186234121,4,2,No Transfer
HPDMobile,LSTM,512,0.025,15,32,66666,12,0.859133,0.4286,0.962009,0.1248,0.530270407,0.521704278,0.218459164,2,2,No Transfer
HPDMobile,LSTM,512,0.025,15,32,5555,10,0.852222,0.4206,0.977697,0.0999,0.518934309,0.535822394,0.200766806,4,2,No Transfer
HPDMobile,LSTM,512,0.025,15,32,4444,3,0.854286,0.3949,0.892641,0.2742,0.517212463,0.468334189,0.195670074,6,2,No Transfer
HPDMobile,LSTM,512,0.025,15,32,1111,7,0.858503,0.4248,0.957913,0.1208,0.529369624,0.519472753,0.206976362,2,0,Transfer
HPDMobile,LSTM,512,0.025,15,32,1111,4,0.851554,0.4064,0.977949,0.1014,0.518466217,0.535987482,0.206762916,4,0,Transfer
HPDMobile,LSTM,512,0.025,15,32,1111,2,0.848314,0.383,0.892263,0.257,0.512862123,0.46727305,0.185364826,6,0,Transfer
HPDMobile,LSTM,512,0.025,15,32,22,5,0.858536,0.4078,0.958858,0.1223,0.529569393,0.520036013,0.217672328,2,0,Transfer
HPDMobile,LSTM,512,0.025,15,32,22,10,0.851042,0.4708,0.977067,0.0989,0.517913173,0.535494815,0.170957027,4,0,Transfer
HPDMobile,LSTM,512,0.025,15,32,333,11,0.85881,0.4002,0.955267,0.1237,0.528821206,0.518188647,0.175376048,2,0,Transfer
HPDMobile,LSTM,512,0.025,15,32,22,2,0.853027,0.3833,0.89283,0.2609,0.516275065,0.46819248,0.187126944,6,0,Transfer
HPDMobile,LSTM,512,0.025,15,32,333,10,0.851389,0.4676,0.976941,0.098,0.518065022,0.535402048,0.159946109,4,0,Transfer
HPDMobile,LSTM,512,0.025,15,32,4444,7,0.858883,0.4696,0.961568,0.1234,0.530601134,0.521940658,0.204368057,2,0,Transfer
HPDMobile,LSTM,512,0.025,15,32,333,2,0.849816,0.3874,0.892074,0.2681,0.514091163,0.467492741,0.18697891,6,0,Transfer
HPDMobile,LSTM,512,0.025,15,32,5555,5,0.857842,0.4301,0.960055,0.1226,0.529464333,0.5206929,0.216175373,2,0,Transfer
HPDMobile,LSTM,512,0.025,15,32,4444,11,0.85171,0.6143,0.979272,0.0987,0.519003638,0.536784789,0.160485673,4,0,Transfer
HPDMobile,LSTM,512,0.025,15,32,66666,11,0.859173,0.4344,0.96037,0.1235,0.530023973,0.52092633,0.170467494,2,0,Transfer
HPDMobile,LSTM,512,0.025,15,32,5555,7,0.851693,0.4761,0.978516,0.0945,0.518787383,0.536333332,0.187715981,4,0,Transfer
HPDMobile,LSTM,512,0.025,15,32,4444,3,0.851788,0.3973,0.89283,0.2659,0.515303868,0.467901158,0.180106874,6,0,Transfer
HPDMobile,LSTM,512,0.025,15,32,77777,10,0.858277,0.3955,0.954259,0.1242,0.528349418,0.517590105,0.177363982,2,0,Transfer
HPDMobile,LSTM,512,0.025,15,32,66666,8,0.852049,0.5903,0.979587,0.0965,0.519130345,0.536921099,0.176407668,4,0,Transfer
HPDMobile,LSTM,512,0.025,15,32,888888,12,0.860013,0.4233,0.955645,0.1242,0.529266434,0.518341832,0.164490657,2,0,Transfer
HPDMobile,LSTM,512,0.025,15,32,5555,2,0.850971,0.3889,0.892389,0.2615,0.515066485,0.467765924,0.185463803,6,0,Transfer
HPDMobile,LSTM,512,0.025,15,32,9999999,9,0.85885,0.4209,0.954826,0.1216,0.528610373,0.517902524,0.191456363,2,0,Transfer
HPDMobile,LSTM,512,0.025,15,32,77777,8,0.851892,0.5045,0.978579,0.095,0.518785856,0.536329144,0.178777398,4,0,Transfer
HPDMobile,LSTM,512,0.025,15,32,66666,2,0.851891,0.386,0.891822,0.2638,0.515566167,0.467630679,0.188457706,6,0,Transfer
HPDMobile,LSTM,512,0.025,15,32,888888,8,0.851406,0.4455,0.977004,0.1032,0.518066769,0.535470432,0.185132134,4,0,Transfer
HPDMobile,LSTM,512,0.025,15,32,77777,5,0.829167,0.3826,0.890751,0.2479,0.494455625,0.461216964,0.16088486,6,0,Transfer
HPDMobile,LSTM,512,0.025,15,32,1111,6,0.840631,0.3401,0.890751,0.2649,0.497450334,0.460307713,0.166045361,8,0,Transfer
HPDMobile,LSTM,512,0.025,15,32,1111,8,0.853196,0.384,0.940329,0.1482,0.502319306,0.460577613,0.158643836,10,0,Transfer
HPDMobile,LSTM,512,0.025,15,32,888888,2,0.85099,0.3703,0.891759,0.2582,0.514649275,0.467368858,0.187581692,6,0,Transfer
HPDMobile,LSTM,512,0.025,15,32,22,4,0.832011,0.3494,0.878717,0.2704,0.494842623,0.454985535,0.183918233,8,0,Transfer
HPDMobile,LSTM,512,0.025,15,32,22,5,0.854895,0.34,0.938173,0.1475,0.503334722,0.460890329,0.188090533,10,0,Transfer
HPDMobile,LSTM,512,0.025,15,32,9999999,2,0.846605,0.3709,0.891759,0.2528,0.511068732,0.466646079,0.187338383,6,0,Transfer
HPDMobile,LSTM,512,0.025,15,32,333,3,0.849384,0.3412,0.889859,0.2636,0.510953026,0.466577402,0.189838034,8,0,Transfer
HPDMobile,LSTM,512,0.025,15,32,333,10,0.849874,0.3771,0.934941,0.1504,0.497529541,0.457588189,0.133431029,10,0,Transfer
HPDMobile,LSTM,512,0.025,15,32,4444,4,0.836929,0.3376,0.885711,0.2489,0.493137983,0.456492282,0.183784232,8,0,Transfer
HPDMobile,LSTM,512,0.025,15,32,77777,8,0.848413,0.3515,0.89472,0.2651,0.504990129,0.464512931,0.152024041,8,0,Transfer
HPDMobile,LSTM,512,0.025,15,32,4444,11,0.854465,0.3951,0.938443,0.1495,0.50462683,0.460694106,0.127436438,10,0,Transfer
HPDMobile,LSTM,512,0.025,15,32,888888,8,0.818523,0.3646,0.882686,0.2622,0.469123884,0.448454117,0.155512987,8,0,Transfer
HPDMobile,LSTM,512,0.025,15,32,5555,4,0.834312,0.3474,0.883254,0.262,0.492232141,0.453676812,0.181393604,8,0,Transfer
HPDMobile,LSTM,512,0.025,15,32,5555,10,0.854034,0.3524,0.937904,0.1471,0.499608209,0.459673694,0.146948915,10,0,Transfer
HPDMobile,LSTM,512,0.025,15,32,66666,9,0.848178,0.3396,0.895728,0.2593,0.50340969,0.464004305,0.140768206,8,0,Transfer
HPDMobile,LSTM,512,0.025,15,32,9999999,2,0.834414,0.342,0.878906,0.2574,0.499606879,0.457608026,0.207298321,8,0,Transfer
HPDMobile,LSTM,512,0.025,15,32,66666,9,0.855105,0.3764,0.938308,0.1469,0.504965722,0.460752645,0.148900716,10,0,Transfer
HPDMobile,LSTM,512,0.025,15,32,1111,14,0.849742,0.334,0.895665,0.2487,0.500337294,0.464304342,0.138754294,8,2,No Transfer
HPDMobile,LSTM,512,0.025,15,32,77777,12,0.850274,0.3335,0.893271,0.2439,0.506621779,0.465612073,0.162653389,8,2,No Transfer
HPDMobile,LSTM,512,0.025,15,32,4444,8,0.853086,0.3183,0.880355,0.2532,0.503636341,0.454895042,0.16929843,8,2,No Transfer
HPDMobile,LSTM,512,0.025,15,32,22,9,0.850775,0.3405,0.891633,0.2547,0.509241861,0.465041522,0.168589054,8,2,No Transfer
HPDMobile,LSTM,512,0.025,15,32,888888,8,0.837666,0.3336,0.882623,0.2396,0.489970468,0.455158007,0.181417691,8,2,No Transfer
HPDMobile,LSTM,512,0.025,15,32,66666,9,0.846818,0.3241,0.887601,0.2285,0.503926968,0.459623779,0.176146007,8,2,No Transfer
HPDMobile,LSTM,512,0.025,15,32,9999999,8,0.854538,0.3393,0.893082,0.2363,0.510067396,0.465840143,0.182573635,8,2,No Transfer
HPDMobile,LSTM,512,0.025,15,32,333,5,0.842554,0.3358,0.876575,0.2491,0.50605376,0.457837689,0.204375702,8,2,No Transfer
HPDMobile,LSTM,512,0.025,15,32,77777,10,0.858283,0.3466,0.937298,0.1485,0.505124309,0.460106792,0.167008973,10,2,No Transfer
HPDMobile,LSTM,512,0.025,15,32,4444,10,0.858073,0.3553,0.937096,0.15,0.50949069,0.460937366,0.171056562,10,2,No Transfer
HPDMobile,LSTM,512,0.025,15,32,22,11,0.860821,0.3268,0.933257,0.1542,0.502955517,0.45845799,0.157377742,10,2,No Transfer
HPDMobile,LSTM,512,0.025,15,32,5555,10,0.859154,0.3322,0.935008,0.1556,0.504370425,0.459570387,0.171836237,10,2,No Transfer
HPDMobile,LSTM,512,0.025,15,32,888888,10,0.861593,0.3129,0.938982,0.1426,0.50408132,0.4604459,0.169780425,10,2,No Transfer
HPDMobile,LSTM,512,0.025,15,32,333,13,0.86199,0.3329,0.934537,0.1482,0.504877581,0.458137081,0.149497291,10,2,No Transfer
HPDMobile,LSTM,512,0.025,15,32,66666,13,0.860931,0.3485,0.93548,0.1517,0.506586273,0.45998318,0.151849357,10,2,No Transfer
HPDMobile,LSTM,512,0.025,15,32,9999999,10,0.860236,0.3292,0.937567,0.1468,0.508310299,0.458917367,0.169834176,10,2,No Transfer
HPDMobile,Naive,512,0.025,15,32,1111,1,0.434288,9.0467,0.311744,11.0092,0.423636732,0.346793148,9.771431919,2,2,Naive
HPDMobile,Naive,512,0.025,15,32,1111,1,0.436398,9.0119,0.327054,10.7652,0.416953601,0.361799117,10.25108138,4,2,Naive
HPDMobile,Naive,512,0.025,15,32,1111,1,0.426664,9.1678,0.421749,9.2396,0.410887893,0.383370973,10.56260657,6,2,Naive
HPDMobile,Naive,512,0.025,15,32,1111,1,0.419104,9.2885,0.427356,9.1493,0.403851417,0.393473192,9.956939855,8,2,Naive
HPDMobile,Naive,512,0.025,15,32,1111,1,0.420595,9.2644,0.336476,10.6021,0.401115483,0.335600331,9.433474529,10,2,Naive
ROBOD,RF,,,,,,,0.6388287312045686,10.215643883267392,,,0.4809094526232024,,,2,2,RF
ROBOD,RF,,,,,,,0.6643489039444416,4.74122078541068,,,0.5505762309561864,,,4,2,RF
ROBOD,RF,,,,,,,0.21158631557730012,2.9335032320302328,,,0.2461572963625501,,,6,2,RF
ROBOD,RF,,,,,,,0.27325857900444744,2.0152535518307952,,,0.32672309062183724,,,8,2,RF
ROBOD,RF,,,,,,,0.18961966342281147,1.5064872735121042,,,0.14460494808782098,,,10,2,RF
ROBOD,RF,,,,,,,0.752215903248515,10.059801241191446,,,0.7192831220036741,,,2,2,RF
ROBOD,RF,,,,,,,0.7740121916017184,4.674665391364026,,,0.7417999949559323,,,4,2,RF
ROBOD,RF,,,,,,,0.25514082055228776,2.956077917954693,,,0.28682360949797714,,,6,2,RF
ROBOD,RF,,,,,,,0.4352055080740645,1.9758034876715445,,,0.5788068600870496,,,8,2,RF
ROBOD,RF,,,,,,,0.4323122809309211,1.4349843184430215,,,0.5728686513279672,,,10,2,RF
ROBOD,RF,,,,,,,0.2438450647409177,10.215559298267145,,,0.29319354695609745,,,2,2,RF
ROBOD,RF,,,,,,,0.7932946190548962,4.631899606551395,,,0.7761281863137242,,,4,2,RF
ROBOD,RF,,,,,,,0.21830025836952338,2.9345913637702683,,,0.24156892864190815,,,6,2,RF
ROBOD,RF,,,,,,,0.6763429412876715,2.009641645779179,,,0.5937055827419359,,,8,2,RF
ROBOD,RF,,,,,,,0.709121982017286,1.4703672417851341,,,0.6254124811106782,,,10,2,RF
ROBOD,RF,,,,,,,0.6082403284108616,10.266812154879903,,,0.41009235284169,,,2,2,RF
ROBOD,RF,,,,,,,0.7293498378415092,4.707580128927964,,,0.6867650295560307,,,4,2,RF
ROBOD,RF,,,,,,,0.38451798508419915,2.7905225652124437,,,0.5137238267174147,,,6,2,RF
ROBOD,RF,,,,,,,0.5995323708796402,2.0426787369400574,,,0.4201637091267406,,,8,2,RF
ROBOD,RF,,,,,,,0.7331939999564583,1.4362879420867476,,,0.6984686245177544,,,10,2,RF
ROBOD,RF,,,,,,,0.28459268985264224,10.338361372493283,,,0.3894208439994383,,,2,2,RF
ROBOD,RF,,,,,,,0.6316760905370757,4.724417996675923,,,0.47611549190324953,,,4,2,RF
ROBOD,RF,,,,,,,0.3808403422938083,2.873448119922751,,,0.5170831820767363,,,6,2,RF
ROBOD,RF,,,,,,,0.8372770055817008,1.9426428766007517,,,0.8383414649575758,,,8,2,RF
ROBOD,RF,,,,,,,0.7583066640541658,1.4729106361230209,,,0.7275462548254968,,,10,2,RF
ROBOD,RF,,,,,,,0.2001755954028807,10.320454673175435,,,0.25671656711568736,,,2,2,RF
ROBOD,RF,,,,,,,0.776132986942421,4.644501740907278,,,0.7571970534069982,,,4,2,RF
ROBOD,RF,,,,,,,0.6394004361130963,2.9368740431748748,,,0.5069155600100226,,,6,2,RF
ROBOD,RF,,,,,,,0.7344523267036127,1.984321877296057,,,0.7009423497114685,,,8,2,RF
ROBOD,RF,,,,,,,0.7154790673372086,1.470933165503911,,,0.6567022251876213,,,10,2,RF
ROBOD,RF,,,,,,,0.30984995293726814,10.178654317765893,,,0.4431734929609822,,,2,2,RF
ROBOD,RF,,,,,,,0.5911483537941691,4.789723657962315,,,0.35891018592230295,,,4,2,RF
ROBOD,RF,,,,,,,0.7595587561614718,2.803266918549353,,,0.7240857248595364,,,6,2,RF
ROBOD,RF,,,,,,,0.8108290964808421,1.987411543165288,,,0.8063032683840234,,,8,2,RF
ROBOD,RF,,,,,,,0.6655628850717349,1.485355467481034,,,0.5796278914487276,,,10,2,RF
ROBOD,RF,,,,,,,0.6716745631866611,10.265495954257789,,,0.588148448011049,,,2,2,RF
ROBOD,RF,,,,,,,0.2042772485694395,4.805735770151457,,,0.2104349789308923,,,4,2,RF
ROBOD,RF,,,,,,,0.6467135763106298,2.9449259540563624,,,0.5426437133348041,,,6,2,RF
ROBOD,RF,,,,,,,0.23298675714129363,2.0333176365617285,,,0.3004811051444313,,,8,2,RF
ROBOD,RF,,,,,,,0.7947967692073237,1.416802915610489,,,0.7878378621720418,,,10,2,RF
ROBOD,RF,,,,,,,0.22900488028664764,10.2504917874631,,,0.2805208762365349,,,2,2,RF
ROBOD,RF,,,,,,,0.30922011104885133,4.730204748649862,,,0.3888429025759513,,,4,2,RF
ROBOD,RF,,,,,,,0.5936323823135983,2.985758241315863,,,0.4037030763067111,,,6,2,RF
ROBOD,RF,,,,,,,0.7279950650203468,2.014130252103904,,,0.674764327148656,,,8,2,RF
ROBOD,RF,,,,,,,0.700696666884375,1.484664917979048,,,0.6242398235433994,,,10,2,RF
