Dataset,Model,|BatchSize,Lr,N_past,Hidden_size,Seed,BestEpoch,TestAcc,TestLoss,ValAcc,ValLoss,TestF1,ValF1,TestLoss,Train_days,Num_frozen,Type
ROBOD,LSTM,256,0.05,10,32,1111,25,0.688834,0.6784,0.696171,0.5946,0.460456991,0.623147968,0.406348512,3,2,No transfer
ROBOD,LSTM,256,0.05,10,32,22,25,0.661355,0.6265,0.712336,0.5598,0.445764329,0.64572871,0.395191562,3,2,No transfer
ROBOD,LSTM,256,0.05,10,32,333,23,0.68134,0.6623,0.678173,0.6217,0.437104537,0.578053129,0.494551767,3,2,No transfer
ROBOD,LSTM,256,0.05,10,32,4444,25,0.678455,0.6557,0.70161,0.5849,0.458336473,0.635166372,0.421780298,3,2,No transfer
ROBOD,LSTM,256,0.05,10,32,5555,25,0.624154,0.6141,0.708466,0.5651,0.438145388,0.637052138,0.411382552,3,2,No transfer
ROBOD,LSTM,256,0.05,10,32,66666,24,0.687946,0.6435,0.688444,0.6038,0.44974107,0.600795536,0.450257814,3,2,No transfer
ROBOD,LSTM,256,0.05,10,32,77777,25,0.675468,0.6572,0.683962,0.6115,0.44745634,0.603261595,0.460663006,3,2,No transfer
ROBOD,LSTM,256,0.05,10,32,888888,25,0.66469,0.7166,0.715874,0.5986,0.455853751,0.663323177,0.412912605,3,2,No transfer
ROBOD,LSTM,256,0.05,10,32,999999999,25,0.662667,0.631,0.706075,0.5602,0.452368944,0.637167278,0.412078071,3,2,No transfer
ROBOD,LSTM,256,0.05,10,32,1111,25,0.647085,0.574,0.821717,0.4269,0.442959785,0.775204315,0.382529261,4,2,No transfer
ROBOD,LSTM,256,0.05,10,32,22,25,0.641323,0.5765,0.797249,0.4762,0.441613265,0.73893091,0.454685703,4,2,No transfer
ROBOD,LSTM,256,0.05,10,32,333,25,0.634854,0.6293,0.807852,0.461,0.438572675,0.772176974,0.448215839,4,2,No transfer
ROBOD,LSTM,256,0.05,10,32,4444,25,0.677032,0.5354,0.804136,0.4907,0.43981142,0.72784297,0.459777422,4,2,No transfer
ROBOD,LSTM,256,0.05,10,32,1111,25,0.675883,0.5601,0.822973,0.452,0.413037859,0.76577006,0.438988545,5,2,No transfer
ROBOD,LSTM,256,0.05,10,32,22,25,0.596708,0.6587,0.805213,0.4717,0.390835114,0.760173736,0.47186026,5,2,No transfer
ROBOD,LSTM,256,0.05,10,32,333,25,0.659395,0.62,0.837871,0.4274,0.406133791,0.792930038,0.402072502,5,2,No transfer
ROBOD,LSTM,256,0.05,10,32,4444,25,0.629755,0.5828,0.820475,0.4391,0.399240798,0.775006032,0.400614765,5,2,No transfer
ROBOD,LSTM,256,0.05,10,32,5555,25,0.722967,0.5367,0.792069,0.4899,0.406226184,0.704050018,0.488630112,5,2,No transfer
ROBOD,LSTM,256,0.05,10,32,66666,25,0.62159,0.5649,0.807401,0.4526,0.398565771,0.758535757,0.414833194,5,2,No transfer
ROBOD,LSTM,256,0.05,10,32,77777,25,0.620034,0.5819,0.796984,0.4554,0.394186547,0.745453578,0.437476537,5,2,No transfer
ROBOD,LSTM,256,0.05,10,32,888888,25,0.660385,0.5682,0.801547,0.4455,0.409173884,0.737516495,0.404628811,5,2,No transfer
ROBOD,LSTM,256,0.05,10,32,999999999,25,0.603532,0.6103,0.809084,0.4416,0.392003067,0.773364827,0.421141872,5,2,No transfer
ROBOD,LSTM,256,0.05,10,32,1111,0,0.450079,0.6968,0,10000000000,0.386136463,0,0,0,0,No transfer
ROBOD,LSTM,256,0.05,10,32,1111,0,0.797255,0.4791,0,10000000000,0.456175209,0,0,0,1,Transfer
ROBOD,LSTM,512,0.05,10,32,1111,25,0.670054,0.5927,0.779158,0.5702,0.391855446,0.702298932,0.556379895,6,0,No transfer
ROBOD,LSTM,512,0.05,10,32,1111,25,0.6876,0.5455,0.821726,0.4851,0.41245607,0.738072887,0.500539791,7,0,No transfer
ROBOD,LSTM,512,0.05,10,32,1111,25,0.619036,0.6459,0.754781,0.5386,0.38945088,0.70696308,0.516093983,8,0,No transfer
ROBOD,LSTM,512,0.05,10,32,1111,25,0.618962,0.6516,0.770862,0.496,0.39908346,0.734788917,0.434658594,9,0,No transfer
ROBOD,LSTM,512,0.05,10,32,22,25,0.711292,0.5737,0.735883,0.5653,0.375842661,0.618215587,0.568961993,6,0,No transfer
ROBOD,LSTM,512,0.05,10,32,22,25,0.702535,0.5864,0.774184,0.534,0.391237392,0.665615042,0.538468872,7,0,No transfer
ROBOD,LSTM,512,0.05,10,32,22,25,0.661272,0.6531,0.776356,0.532,0.409733155,0.710345069,0.514333259,8,0,No transfer
ROBOD,LSTM,512,0.05,10,32,22,25,0.64189,0.5866,0.748852,0.5141,0.41336418,0.711864086,0.48051325,9,0,No transfer
ROBOD,LSTM,512,0.05,10,32,333,25,0.708231,0.5877,0.729713,0.5898,0.363797448,0.602804566,0.593908192,6,0,No transfer
ROBOD,LSTM,512,0.05,10,32,333,25,0.68443,0.552,0.762592,0.5156,0.390625447,0.664086383,0.529820286,7,0,No transfer
ROBOD,LSTM,512,0.05,10,32,333,25,0.606926,0.6395,0.781057,0.4761,0.393217296,0.731271488,0.430116739,8,0,No transfer
ROBOD,LSTM,512,0.05,10,32,333,25,0.683704,0.6224,0.74369,0.5248,0.407959974,0.697015815,0.47610049,9,0,No transfer
ROBOD,LSTM,512,0.05,10,32,4444,25,0.671279,0.5979,0.783094,0.5728,0.405401371,0.704857877,0.567658992,6,0,No transfer
ROBOD,LSTM,512,0.05,10,32,4444,25,0.703526,0.5633,0.782905,0.5277,0.401026157,0.681580202,0.543886636,7,0,No transfer
ROBOD,LSTM,512,0.05,10,32,4444,25,0.685651,0.5798,0.759175,0.5253,0.392657814,0.668624215,0.507996609,8,0,No transfer
ROBOD,LSTM,512,0.05,10,32,4444,24,0.595368,0.6329,0.765094,0.5047,0.391407369,0.735402185,0.42045376,9,0,No transfer
ROBOD,LSTM,512,0.05,10,32,55555,25,0.729323,0.5423,0.734255,0.5643,0.361442591,0.575733879,0.564731621,6,0,No transfer
ROBOD,LSTM,512,0.05,10,32,5555,25,0.685704,0.5997,0.754589,0.546,0.391466,0.654701048,0.553103265,7,0,No transfer
ROBOD,LSTM,512,0.05,10,32,55555,25,0.69215,0.6028,0.75359,0.5675,0.393428024,0.660120969,0.567975692,8,0,No transfer
ROBOD,LSTM,512,0.05,10,32,5555,25,0.612836,0.5984,0.774189,0.4863,0.401909081,0.740710087,0.431466728,9,0,No transfer
ROBOD,LSTM,512,0.05,10,32,66666,25,0.692394,0.6032,0.760608,0.5664,0.396181528,0.666342011,0.564494515,6,0,No transfer
ROBOD,LSTM,512,0.05,10,32,66666,25,0.705175,0.5481,0.748434,0.5336,0.392013228,0.638810341,0.541787566,7,0,No transfer
ROBOD,LSTM,512,0.05,10,32,66666,25,0.589986,0.6018,0.757619,0.4809,0.387728026,0.718931516,0.448886211,8,0,No transfer
ROBOD,LSTM,512,0.05,10,32,66666,25,0.677308,0.6042,0.732518,0.5189,0.40926517,0.687670448,0.48111482,9,0,No transfer
ROBOD,LSTM,512,0.05,10,32,77777,25,0.72318,0.5951,0.726147,0.5999,0.354035367,0.570321762,0.601865747,6,0,No transfer
ROBOD,LSTM,512,0.05,10,32,77777,25,0.681171,0.5762,0.773307,0.5366,0.393086321,0.684437132,0.539215927,7,0,No transfer
ROBOD,LSTM,512,0.05,10,32,77777,25,0.683149,0.5822,0.78191,0.5095,0.412176464,0.719539835,0.4977448,8,0,No transfer
ROBOD,LSTM,512,0.05,10,32,77777,25,0.637247,0.6185,0.780354,0.5063,0.403873532,0.742197427,0.438976057,9,0,No transfer
ROBOD,LSTM,512,0.05,10,32,888888,25,0.707075,0.6053,0.750615,0.5854,0.387516696,0.618259391,0.589802706,6,0,No transfer
ROBOD,LSTM,512,0.05,10,32,888888,25,0.703816,0.5623,0.760966,0.535,0.38700012,0.658012579,0.54780897,7,0,No transfer
ROBOD,LSTM,512,0.05,10,32,888888,25,0.64035,0.6106,0.783198,0.4935,0.39761696,0.725385597,0.465508711,8,0,No transfer
ROBOD,LSTM,512,0.05,10,32,888888,25,0.649824,0.6013,0.768968,0.4814,0.413862487,0.728724475,0.419971221,9,0,No transfer
ROBOD,LSTM,512,0.05,10,32,9999999,25,0.721097,0.5941,0.758758,0.5719,0.406209722,0.622720272,0.566958773,6,0,No transfer
ROBOD,LSTM,512,0.05,10,32,9999999,25,0.710302,0.5609,0.774406,0.5193,0.408803937,0.682381892,0.514966085,7,0,No transfer
ROBOD,LSTM,512,0.05,10,32,9999999,25,0.696931,0.5549,0.74428,0.5236,0.401396786,0.650096896,0.513788562,8,0,No transfer
ROBOD,LSTM,512,0.05,10,32,9999999,25,0.631573,0.6243,0.753278,0.5143,0.398395328,0.72695555,0.452125177,9,0,No transfer
ROBOD,LSTM,512,0.05,10,32,1111,25,0.848613,0.331,0.831116,0.39,0.410085819,0.739548876,0.397750609,6,1,Transfer
ROBOD,LSTM,512,0.05,10,32,1111,24,0.845903,0.332,0.837989,0.3674,0.409210065,0.767340445,0.384178077,7,1,Transfer
ROBOD,LSTM,512,0.05,10,32,1111,25,0.856637,0.3183,0.753692,0.4608,0.40705867,0.52643517,0.413160115,8,1,Transfer
ROBOD,LSTM,512,0.05,10,32,22,22,0.838172,0.3472,0.841942,0.3745,0.407888521,0.768213383,0.349051494,6,1,Transfer
ROBOD,LSTM,512,0.05,10,32,22,25,0.855282,0.3207,0.809937,0.406,0.407492379,0.700859628,0.417994953,7,1,Transfer
ROBOD,LSTM,512,0.05,10,32,22,25,0.838363,0.3412,0.800357,0.3815,0.41265379,0.687932895,0.35262783,8,1,Transfer
ROBOD,LSTM,512,0.05,10,32,1111,25,0.820369,0.3626,0.816385,0.3932,0.426030122,0.760535102,0.33962068,9,1,Transfer
ROBOD,LSTM,512,0.05,10,32,333,21,0.842322,0.3404,0.839777,0.3794,0.410522422,0.761446986,0.371106452,6,1,Transfer
ROBOD,LSTM,512,0.05,10,32,333,1,0.856393,0.3204,0.80505,0.4118,0.406723232,0.684174502,0.554861306,7,1,Transfer
ROBOD,LSTM,512,0.05,10,32,333,25,0.856719,0.3182,0.75183,0.4612,0.406975667,0.519704449,0.411668488,8,1,Transfer
ROBOD,LSTM,512,0.05,10,32,22,25,0.819343,0.364,0.818735,0.393,0.42572192,0.764541298,0.340504722,9,1,Transfer
ROBOD,LSTM,512,0.05,10,32,4444,25,0.848585,0.3308,0.831767,0.3898,0.410380652,0.741287575,0.381051035,6,1,Transfer
ROBOD,LSTM,512,0.05,10,32,4444,24,0.852841,0.3214,0.825362,0.3866,0.406644742,0.739273615,0.395449883,7,1,Transfer
ROBOD,LSTM,512,0.05,10,32,4444,25,0.849777,0.3236,0.775605,0.4186,0.40752154,0.622260136,0.385652309,8,1,Transfer
ROBOD,LSTM,512,0.05,10,32,333,25,0.822754,0.3583,0.81434,0.394,0.423065483,0.755409771,0.339696546,9,1,Transfer
ROBOD,LSTM,512,0.05,10,32,55555,25,0.85173,0.3259,0.824294,0.4027,0.407865114,0.720695927,0.396736163,6,1,Transfer
ROBOD,LSTM,512,0.05,10,32,5555,1,0.856475,0.3209,0.814742,0.4076,0.408061264,0.703114035,0.53824341,7,1,Transfer
ROBOD,LSTM,512,0.05,10,32,55555,25,0.849858,0.3219,0.776094,0.4231,0.405367081,0.622784365,0.385980958,8,1,Transfer
ROBOD,LSTM,512,0.05,10,32,4444,25,0.819938,0.3632,0.817361,0.3933,0.426027752,0.763186506,0.338705057,9,1,Transfer
ROBOD,LSTM,512,0.05,10,32,66666,24,0.836845,0.3492,0.841828,0.3732,0.409307629,0.768553531,0.354022498,6,1,Transfer
ROBOD,LSTM,512,0.05,10,32,66666,25,0.851811,0.3222,0.825362,0.3846,0.406311431,0.739273615,0.403507694,7,1,Transfer
ROBOD,LSTM,512,0.05,10,32,66666,1,0.857289,0.3187,0.742611,0.4664,0.405112622,0.493529094,0.531279029,8,1,Transfer
ROBOD,LSTM,512,0.05,10,32,5555,25,0.817716,0.3653,0.819223,0.3927,0.425054941,0.765200946,0.336573421,9,1,Transfer
ROBOD,LSTM,512,0.05,10,32,77777,23,0.848991,0.3288,0.829276,0.392,0.407619497,0.734818263,0.399435773,6,1,Transfer
ROBOD,LSTM,512,0.05,10,32,77777,25,0.855038,0.3202,0.816705,0.3994,0.409419165,0.718071441,0.419308424,7,1,Transfer
ROBOD,LSTM,512,0.05,10,32,77777,25,0.857207,0.3186,0.748106,0.4673,0.405709073,0.505901812,0.408680323,8,1,Transfer
ROBOD,LSTM,512,0.05,10,32,66666,25,0.816697,0.3685,0.819132,0.3923,0.425662966,0.764488421,0.33970975,9,1,Transfer
ROBOD,LSTM,512,0.05,10,32,888888,23,0.841345,0.3432,0.841942,0.3783,0.411245367,0.767266755,0.37220792,6,1,Transfer
ROBOD,LSTM,512,0.05,10,32,888888,25,0.852381,0.3227,0.826143,0.3858,0.407287741,0.741656924,0.399358605,7,1,Transfer
ROBOD,LSTM,512,0.05,10,32,888888,25,0.839014,0.3405,0.799869,0.3834,0.412095695,0.686959319,0.353004534,8,1,Transfer
ROBOD,LSTM,512,0.05,10,32,77777,25,0.819173,0.3637,0.819223,0.3931,0.425667022,0.764900298,0.337587977,9,1,Transfer
ROBOD,LSTM,512,0.05,10,32,9999999,25,0.835083,0.352,0.84204,0.3741,0.4096569,0.769237175,0.337197723,6,1,Transfer
ROBOD,LSTM,512,0.05,10,32,9999999,25,0.854794,0.3206,0.817095,0.3989,0.4097173,0.719265335,0.418307192,7,1,Transfer
ROBOD,LSTM,512,0.05,10,32,9999999,25,0.849614,0.3227,0.776094,0.421,0.405809912,0.622784365,0.38610066,8,1,Transfer
ROBOD,LSTM,512,0.05,10,32,888888,25,0.820454,0.3629,0.816873,0.3931,0.426142067,0.7618252,0.339688787,9,1,Transfer
ROBOD,LSTM,512,0.05,10,32,9999999,25,0.82114,0.3613,0.816385,0.3934,0.425976709,0.760772222,0.340468622,9,1,Transfer
ROBOD,RF,,,,,,,0.531743992,18.76324744,,,0.416806723,,,1,2,RF
ROBOD,RF,,,,,,,0.40933042,9.905371224,,,0.238316208,,,2,2,RF
ROBOD,RF,,,,,,,0.411183772,9.534266943,,,0.240488897,,,3,2,RF
ROBOD,RF,,,,,,,0.57160016,5.913940283,,,0.328592345,,,4,2,RF
ROBOD,RF,,,,,,,0.57160016,5.913940283,,,0.328592345,,,5,2,RF
ROBOD,RF,,,,,,,0.580499653,5.67445589,,,0.334763948,,,6,2,RF
ROBOD,RF,,,,,,,0.509975423,4.181367073,,,0.13939317,,,7,2,RF
ROBOD,RF,,,,,,,0.432719867,3.254721085,,,0.27759101,,,8,2,RF
ROBOD,RF,,,,,,,0.506623561,2.536988548,,,0.24276897,,,9,2,RF
ROBOD,RF,,,,,,,0.569221873,2.059450526,,,0.304202802,,,10,2,RF
ROBOD,RF,,,,,,,0.354453155,21.33918948,,,0.314172583,,,1,2,RF
ROBOD,RF,,,,,,,0.628068372,8.902090215,,,0.407695456,,,2,2,RF
ROBOD,RF,,,,,,,0.63178967,8.557208267,,,0.407303974,,,3,2,RF
ROBOD,RF,,,,,,,0.495462432,6.072976371,,,0.317537684,,,4,2,RF
ROBOD,RF,,,,,,,0.495462432,6.072976371,,,0.317537684,,,5,2,RF
ROBOD,RF,,,,,,,0.494587092,5.841129225,,,0.310517845,,,6,2,RF
ROBOD,RF,,,,,,,0.353187798,4.387715447,,,0.233116215,,,7,2,RF
ROBOD,RF,,,,,,,0.546839644,3.169063613,,,0.28781413,,,8,2,RF
ROBOD,RF,,,,,,,0.486043211,2.596389887,,,0.258306782,,,9,2,RF
ROBOD,RF,,,,,,,0.587559888,2.052041643,,,0.329528669,,,10,2,RF
ROBOD,RF,,,,,,,0.517799769,18.94363247,,,0.350865052,,,1,2,RF
ROBOD,RF,,,,,,,0.474360622,9.608367047,,,0.331152903,,,2,2,RF
ROBOD,RF,,,,,,,0.469438142,9.26977071,,,0.3296518,,,3,2,RF
ROBOD,RF,,,,,,,0.511077005,5.98880795,,,0.252880595,,,4,2,RF
ROBOD,RF,,,,,,,0.511077005,5.98880795,,,0.252880595,,,5,2,RF
ROBOD,RF,,,,,,,0.514573213,5.753120386,,,0.23760218,,,6,2,RF
ROBOD,RF,,,,,,,0.430388897,4.261561597,,,0.264239029,,,7,2,RF
ROBOD,RF,,,,,,,0.509729974,3.190262284,,,0.191542289,,,8,2,RF
ROBOD,RF,,,,,,,0.584292698,2.487567853,,,0.36236091,,,9,2,RF
ROBOD,RF,,,,,,,0.552370725,2.056858217,,,0.251002073,,,10,2,RF
ROBOD,RF,,,,,,,0.496144454,19.23445104,,,0.244823269,,,1,2,RF
ROBOD,RF,,,,,,,0.595489012,9.127272861,,,0.370688793,,,2,2,RF
ROBOD,RF,,,,,,,0.598692113,8.779362536,,,0.373672152,,,3,2,RF
ROBOD,RF,,,,,,,0.618043507,5.823241913,,,0.288590604,,,4,2,RF
ROBOD,RF,,,,,,,0.618043507,5.823241913,,,0.288590604,,,5,2,RF
ROBOD,RF,,,,,,,0.620610687,5.5949427,,,0.281319837,,,6,2,RF
ROBOD,RF,,,,,,,0.571707388,4.071636704,,,0.30285916,,,7,2,RF
ROBOD,RF,,,,,,,0.572182833,3.140111097,,,0.297498142,,,8,2,RF
ROBOD,RF,,,,,,,0.612127425,2.465660543,,,0.254809877,,,9,2,RF
ROBOD,RF,,,,,,,0.57252602,2.053930389,,,0.299444971,,,10,2,RF
ROBOD,RF,,,,,,,0.651715718,17.51488602,,,0.320972187,,,1,2,RF
ROBOD,RF,,,,,,,0.471918777,9.555645092,,,0.347984767,,,2,2,RF
ROBOD,RF,,,,,,,0.470439076,9.205023811,,,0.345754328,,,3,2,RF
ROBOD,RF,,,,,,,0.596022955,5.837077245,,,0.379076923,,,4,2,RF
ROBOD,RF,,,,,,,0.596022955,5.837077245,,,0.379076923,,,5,2,RF
ROBOD,RF,,,,,,,0.598959056,5.6068691,,,0.36972407,,,6,2,RF
ROBOD,RF,,,,,,,0.549081972,4.130198184,,,0.304880767,,,7,2,RF
ROBOD,RF,,,,,,,0.495399004,3.251541515,,,0.281572165,,,8,2,RF
ROBOD,RF,,,,,,,0.450638701,2.576397602,,,0.282270526,,,9,2,RF
ROBOD,RF,,,,,,,0.489674542,2.09247576,,,0.156471873,,,10,2,RF
ROBOD,RF,,,,,,,0.63809279,17.66222104,,,0.316172899,,,1,2,RF
ROBOD,RF,,,,,,,0.565544275,9.167808295,,,0.377955654,,,2,2,RF
ROBOD,RF,,,,,,,0.563659415,8.834674838,,,0.380013274,,,3,2,RF
ROBOD,RF,,,,,,,0.468637395,6.08896711,,,0.25110505,,,4,2,RF
ROBOD,RF,,,,,,,0.468637395,6.08896711,,,0.25110505,,,5,2,RF
ROBOD,RF,,,,,,,0.470229008,5.85562008,,,0.241756059,,,6,2,RF
ROBOD,RF,,,,,,,0.575249386,4.074783329,,,0.292048193,,,7,2,RF
ROBOD,RF,,,,,,,0.625131996,3.073884015,,,0.30059105,,,8,2,RF
ROBOD,RF,,,,,,,0.442911213,2.591265729,,,0.165978043,,,9,2,RF
ROBOD,RF,,,,,,,0.702626797,1.997513662,,,0.415394609,,,10,2,RF
ROBOD,RF,,,,,,,0.382791415,19.96652302,,,0.388255525,,,1,2,RF
ROBOD,RF,,,,,,,0.462665467,9.585745382,,,0.242160595,,,2,2,RF
ROBOD,RF,,,,,,,0.466635526,9.213564715,,,0.245445105,,,3,2,RF
ROBOD,RF,,,,,,,0.491925797,6.063813766,,,0.338373306,,,4,2,RF
ROBOD,RF,,,,,,,0.491925797,6.063813766,,,0.338373306,,,5,2,RF
ROBOD,RF,,,,,,,0.490770298,5.832390381,,,0.33484409,,,6,2,RF
ROBOD,RF,,,,,,,0.567442533,4.097337609,,,0.311550851,,,7,2,RF
ROBOD,RF,,,,,,,0.550384673,3.172433525,,,0.344729032,,,8,2,RF
ROBOD,RF,,,,,,,0.477132944,2.582131184,,,0.285529577,,,9,2,RF
ROBOD,RF,,,,,,,0.487113828,2.092206302,,,0.195621194,,,10,2,RF
ROBOD,RF,,,,,,,0.58141627,18.03792957,,,0.405439942,,,1,2,RF
ROBOD,RF,,,,,,,0.475453027,9.561606043,,,0.340789792,,,2,2,RF
ROBOD,RF,,,,,,,0.475777392,9.210849045,,,0.341050159,,,3,2,RF
ROBOD,RF,,,,,,,0.544241292,5.953831349,,,0.291640738,,,4,2,RF
ROBOD,RF,,,,,,,0.544241292,5.953831349,,,0.291640738,,,5,2,RF
ROBOD,RF,,,,,,,0.549548924,5.714557679,,,0.29499294,,,6,2,RF
ROBOD,RF,,,,,,,0.538817406,4.129637227,,,0.307274701,,,7,2,RF
ROBOD,RF,,,,,,,0.476919596,3.230918908,,,0.277980219,,,8,2,RF
ROBOD,RF,,,,,,,0.465226305,2.559162253,,,0.295742471,,,9,2,RF
ROBOD,RF,,,,,,,0.437469024,2.122460763,,,0.255249344,,,10,2,RF
ROBOD,RF,,,,,,,0.418262434,19.6478206,,,0.326864451,,,1,2,RF
ROBOD,RF,,,,,,,0.388574733,9.895180749,,,0.244661427,,,2,2,RF
ROBOD,RF,,,,,,,0.381756306,9.555782386,,,0.239139361,,,3,2,RF
ROBOD,RF,,,,,,,0.413118911,6.232178959,,,0.230870136,,,4,2,RF
ROBOD,RF,,,,,,,0.413118911,6.232178959,,,0.230870136,,,5,2,RF
ROBOD,RF,,,,,,,0.411450382,5.998062399,,,0.230189707,,,6,2,RF
ROBOD,RF,,,,,,,0.579947954,4.068808173,,,0.290216196,,,7,2,RF
ROBOD,RF,,,,,,,0.506562076,3.160845915,,,0.261625282,,,8,2,RF
ROBOD,RF,,,,,,,0.629553698,2.481003806,,,0.2659375,,,9,2,RF
ROBOD,RF,,,,,,,0.510242855,2.088815035,,,0.167626,,,10,2,RF
ROBOD,Naive,512,0.05,10,32,1111,0,0.723707,4.419,0,10000000000,0.43651089,0,0,0,0,Naive
ROBOD,Naive,512,0.05,10,32,1111,0,0.723707,4.419,0,10000000000,0.43651089,0,0,1,0,Naive
ROBOD,Naive,512,0.05,10,32,1111,0,0.734106,4.2523,0,10000000000,0.437210443,0,0,2,0,Naive
ROBOD,Naive,512,0.05,10,32,1111,0,0.727486,4.3572,0,10000000000,0.458372028,0,0,3,0,Naive
ROBOD,Naive,512,0.05,10,32,1111,0,0.729761,4.3199,0,10000000000,0.431217328,0,0,4,0,Naive
ROBOD,Naive,512,0.05,10,32,1111,0,0.734132,4.2493,0,10000000000,0.416908372,0,0,5,0,Naive
ROBOD,Naive,512,0.05,10,32,1111,0,0.732239,4.2792,0,10000000000,0.400848707,0,0,6,0,Naive
ROBOD,Naive,512,0.05,10,32,1111,0,0.732239,4.2792,0,10000000000,0.400848707,0,0,7,0,Naive
ROBOD,Naive,512,0.05,10,32,1111,0,0.732239,4.2792,0,10000000000,0.400848707,0,0,8,0,Naive
ROBOD,Naive,512,0.05,10,32,1111,0,0.731263,4.2937,0,10000000000,0.412218233,0,0,9,0,Naive
ROBOD,Naive,512,0.05,10,32,1111,0,0.724304,4.4038,0,10000000000,0.384703337,0,0,10,0,Naive
